Username,Password,Email,level,kills,Deaths,Rank
TheFool,TheFoolPassowrd,TheFool@gmail.com,314,2415,1501,2514
Atum,AtumPassowrd,Atum@gmail.com,471,2296,3382,2263
JailHouseLock,JailHouseLockPassowrd,JailHouseLock@gmail.com,295,434,1593,1720
TheLock,TheLockPassowrd,TheLock@gmail.com,262,1549,939,2284
TalkingHead,TalkingHeadPassowrd,TalkingHead@gmail.com,94,587,680,1638
TheWorld,TheWorldPassowrd,TheWorld@gmail.com,404,3463,3620,2206
MoodyBlues,MoodyBluesPassowrd,MoodyBlues@gmail.com,478,4525,4679,2406
Sun,SunPassowrd,Sun@gmail.com,21,57,151,1295
Surface,SurfacePassowrd,Surface@gmail.com,213,1360,1293,1958
TenoreSax,TenoreSaxPassowrd,TenoreSax@gmail.com,415,2179,2439,2191
SexPistols,SexPistolsPassowrd,SexPistols@gmail.com,60,61,532,1131
LoveDeluxe,LoveDeluxePassowrd,LoveDeluxe@gmail.com,62,450,162,2595
Cream,CreamPassowrd,Cream@gmail.com,460,2524,1428,2817
NotoriousB.I.G,NotoriousB.I.GPassowrd,NotoriousB.I.G@gmail.com,287,532,999,1792
SkyHigh,SkyHighPassowrd,SkyHigh@gmail.com,11,81,67,1709
Aerosmith,AerosmithPassowrd,Aerosmith@gmail.com,410,1707,3716,2072
GreenDay,GreenDayPassowrd,GreenDay@gmail.com,397,462,3455,1943
CrazyDiamond,CrazyDiamondPassowrd,CrazyDiamond@gmail.com,83,387,543,1538
UnderWorld,UnderWorldPassowrd,UnderWorld@gmail.com,322,2029,892,2720
PurpleHaze,PurpleHazePassowrd,PurpleHaze@gmail.com,1,1,0,1443
TheHand,TheHandPassowrd,TheHand@gmail.com,196,781,1031,1819
RedHotChiliPepper,RedHotChiliPepperPassowrd,RedHotChiliPepper@gmail.com,211,1340,340,3295
DeathThirteen,DeathThirteenPassowrd,DeathThirteen@gmail.com,463,1119,1048,2399
TowerOfGray,TowerOfGrayPassowrd,TowerOfGray@gmail.com,133,477,611,1590
PosterBoy,PosterBoyPassowrd,PosterBoy@gmail.com,294,1226,505,2734
SpiceGirl,SpiceGirlPassowrd,SpiceGirl@gmail.com,413,4027,3951,2252
Oasis,OasisPassowrd,Oasis@gmail.com,166,1076,700,2083
PeanutSans,PeanutSansPassowrd,PeanutSans@gmail.com,75,156,568,1293
Judgement,JudgementPassowrd,Judgement@gmail.com,490,4736,4854,2472
DarkBlueMoon,DarkBlueMoonPassowrd,DarkBlueMoon@gmail.com,443,1744,1470,2578
Ratt,RattPassowrd,Ratt@gmail.com,142,1260,111,5000
Mr.President,Mr.PresidentPassowrd,Mr.President@gmail.com,191,1002,715,2018
ChariotRequiem,ChariotRequiemPassowrd,ChariotRequiem@gmail.com,183,1046,1458,1727
BIRDBRAIN,BIRDBRAINPassowrd,BIRDBRAIN@gmail.com,392,3051,426,5000
Echoes,EchoesPassowrd,Echoes@gmail.com,143,1390,1105,1867
HighPriestess,HighPriestessPassowrd,HighPriestess@gmail.com,422,1933,4202,2127
BLINDSIDED,BLINDSIDEDPassowrd,BLINDSIDED@gmail.com,138,510,271,2224
Harvest,HarvestPassowrd,Harvest@gmail.com,348,3269,3026,2179
Strength,StrengthPassowrd,Strength@gmail.com,439,3575,3098,2441
RollingStones,RollingStonesPassowrd,RollingStones@gmail.com,83,467,515,1566
KingCrimson,KingCrimsonPassowrd,KingCrimson@gmail.com,459,1414,1501,2366
Geb,GebPassowrd,Geb@gmail.com,205,768,1238,1669
AtomHeartFather,AtomHeartFatherPassowrd,AtomHeartFather@gmail.com,85,91,169,1477
BlackSabbath,BlackSabbathPassowrd,BlackSabbath@gmail.com,407,3651,1471,2958
IRISOUT,IRISOUTPassowrd,IRISOUT@gmail.com,286,1227,259,4001
StoneFree,StoneFreePassowrd,StoneFree@gmail.com,8,23,31,1428
Khnum,KhnumPassowrd,Khnum@gmail.com,273,2187,1756,2205
WooHoo,WooHooPassowrd,WooHoo@gmail.com,333,459,2871,1699
SoftMachine,SoftMachinePassowrd,SoftMachine@gmail.com,103,502,639,1667
Boy2Man,Boy2ManPassowrd,Boy2Man@gmail.com,345,354,1670,1861
Kiss,KissPassowrd,Kiss@gmail.com,421,1118,610,2736
MoneyMachine,MoneyMachinePassowrd,MoneyMachine@gmail.com,49,282,56,3611
KraftWork,KraftWorkPassowrd,KraftWork@gmail.com,459,2875,439,5000
FooFighters,FooFightersPassowrd,FooFighters@gmail.com,163,1282,1103,1865
Metallica,MetallicaPassowrd,Metallica@gmail.com,143,708,998,1678
WeatherReport,WeatherReportPassowrd,WeatherReport@gmail.com,146,315,1241,1384
LittleFeet,LittleFeetPassowrd,LittleFeet@gmail.com,315,2133,2714,2115
DiverDown,DiverDownPassowrd,DiverDown@gmail.com,127,865,324,2498
WhiteSnake,WhiteSnakePassowrd,WhiteSnake@gmail.com,373,3248,537,4713
C-MOON,C-MOONPassowrd,C-MOON@gmail.com,66,157,537,1365
MadeInHeaven,MadeInHeavenPassowrd,MadeInHeaven@gmail.com,211,418,1123,1583
GooGooDolls,GooGooDollsPassowrd,GooGooDolls@gmail.com,431,1359,2393,2134
ManhattanTransfer,ManhattanTransferPassowrd,ManhattanTransfer@gmail.com,199,629,1410,1557
